category_name,topic_name,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Logical Reasoning,Direction Sense,"Rohit walks 20m north then turns right and walks 30m then turns right and walks 35m then turns left and walks 15m. How far and in which direction is he from starting point?",45m East,50m North,25√5m NorthEast,15m South,C,"Final position: 45m East, 15m South, Distance = √(45²+15²) = √(2025+225) = √2250 = 15√10 ≈ 47.4m",Hard
Logical Reasoning,Coding-Decoding,"In a certain code DELHI is written as CCIDD. How will BOMBAY be written?",ALNAUX,ALMAAX,BONBAY,ANLAZX,D,"Each letter is shifted: D→C(-1), E→C(-2), L→I(-3), H→D(-4), I→D(-5). Similarly for BOMBAY",Hard
Logical Reasoning,Series Completion,"Complete the series: 1, 4, 9, 16, 25, ?",30,35,36,49,C,"These are perfect squares: 1², 2², 3², 4², 5², next is 6² = 36",Easy
Logical Reasoning,Analogies,"Money : Bank :: Books : ?",Library,Author,Reader,Shelf,A,"Money is stored in bank, books are stored in library",Easy
Logical Reasoning,Classification,"Which one is different: Rose, Jasmine, Lotus, Marigold?",Rose,Jasmine,Lotus,Marigold,C,"Lotus is a water plant while others are land plants",Medium
Logical Reasoning,Syllogism,"Some books are pens. All pens are pencils. Conclusions: I) Some books are pencils II) All pencils are books",Only I,Only II,Both,Neither,A,"Some books are pens + All pens are pencils = Some books are pencils (I is true), II is not necessarily true",Medium
Logical Reasoning,Puzzles,"A, B, C, D, E are sitting around a circular table. A is second to left of B. C is neighbor of A. D is not neighbor of B. Where is E sitting?",Between A and D,Between B and D,Between C and D,Opposite to A,B,"Given constraints place E between B and D",Hard
Logical Reasoning,Calendars,"What was the day on 26th January 1950 (Republic Day)?",Tuesday,Wednesday,Thursday,Friday,C,"Using day calculation formula, 26th January 1950 was Thursday",Hard
Logical Reasoning,Clocks,"How many times do the hands of a clock coincide in a day?",22,24,20,11,A,"Hands coincide 11 times in 12 hours, so 22 times in 24 hours",Medium
Verbal Ability,Reading Comprehension,"Technology has revolutionized communication. What is the main idea?",Technology is expensive,Communication has changed due to technology,Technology is complex,Communication is important,B,"The passage states technology has revolutionized (completely changed) communication",Medium
Verbal Ability,Vocabulary,"Antonym of 'Verbose':",Talkative,Concise,Detailed,Lengthy,B,"Verbose means wordy, opposite is concise (brief)",Medium
Verbal Ability,Grammar,"Choose the correct form: 'Neither of the boys ___ present.'",are,were,is,have,C,"Neither is singular and takes singular verb 'is'",Medium
Verbal Ability,Sentence Correction,"Correct the sentence: 'She is senior than me.'",She is senior to me,She is more senior than me,She is senior from me,She is senior with me,A,"Correct preposition with 'senior' is 'to'",Easy
Verbal Ability,Para Jumbles,"Arrange: P) in the garden Q) are blooming R) beautiful flowers S) during spring",RPQS,RSPQ,QRPS,SRPQ,B,"Beautiful flowers are blooming in the garden during spring",Medium
Verbal Ability,One Word Substitution,"One word for 'A person who loves books':",Bibliophile,Biography,Bibliography,Librarian,A,"Bibliophile means a person who loves books",Medium
Data Interpretation,Line Graphs,"A line graph shows temperature: Day1-25°C Day2-30°C Day3-20°C Day4-35°C. What's the range?",10°C,15°C,20°C,25°C,B,"Range = Maximum - Minimum = 35 - 20 = 15°C",Easy
Data Interpretation,Pie Charts,"In a pie chart 30% represents 150 students. What's the total number of students?",300,400,500,600,C,"If 30% = 150, then 100% = 150×100/30 = 500 students",Easy
Data Interpretation,Mixed Charts,"A company's profit shown in bar chart (2019:10L 2020:15L) and expenses in line graph (2019:40L 2020:45L). What's the revenue in 2020?",50L,55L,60L,65L,C,"Revenue = Profit + Expenses = 15 + 45 = 60L",Medium
General Awareness,History,"Who was the first Prime Minister of India?",Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,Dr. Rajendra Prasad,B,"Jawaharlal Nehru was the first Prime Minister of India",Easy
General Awareness,Geography,"Which planet is known as the Red Planet?",Venus,Jupiter,Mars,Saturn,C,"Mars is called the Red Planet due to its reddish appearance",Easy
General Awareness,Science,"What is the hardest natural substance?",Gold,Iron,Diamond,Platinum,C,"Diamond is the hardest natural substance",Easy
General Awareness,Sports,"How many players are there in a cricket team?",10,11,12,9,B,"A cricket team has 11 players",Easy
General Awareness,Politics,"How many fundamental rights are there in Indian Constitution?",5,6,7,8,B,"There are 6 fundamental rights in Indian Constitution",Medium
Computer Aptitude,Programming,"Which of the following is a programming language?",MS Word,Photoshop,Python,Excel,C,"Python is a programming language",Easy
Computer Aptitude,Database,"What does SQL stand for?",Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A,"SQL stands for Structured Query Language",Easy
Computer Aptitude,Internet,"Which protocol is used for sending emails?",HTTP,FTP,SMTP,TCP,C,"SMTP (Simple Mail Transfer Protocol) is used for sending emails",Medium
